words@aas1991m	Shastoon	3.56	4.0	год
words@aas1991m	Shastoon	4.02	4.403	год
words@aas1991m	Shastoon	4.403	4.91	репетирует
words@aas1991m	Shastoon	4.91	5.17	да
words@aas1991m	Shastoon	5.27	5.592	блин
words@aas1991m	Shastoon	5.592	5.914	ну
words@aas1991m	Shastoon	5.914	6.07	на
words@aas1991m	Shastoon	6.07	6.29	самом
words@aas1991m	Shastoon	6.29	6.51	деле
words@aas1991m	Shastoon	6.51	7.01	мы
words@aas1991m	Shastoon	7.01	7.456	очень
words@aas1991m	Shastoon	7.456	7.81	давно
words@aas1991m	Shastoon	7.81	8.06	этим
words@aas1991m	Shastoon	8.06	8.55	занимаемся
words@aas1991m	Shastoon	8.55	8.85	прям
words@aas1991m	Shastoon	8.85	9.155	очень
words@aas1991m	Shastoon	9.155	9.46	давно
words@aas1991m	Shastoon	9.985	10.21	да
words@aas1991m	Shastoon	10.21	10.34	и
words@aas1991m	Shastoon	10.34	10.77	юмором
words@aas1991m	Shastoon	10.77	10.89	и
words@aas1991m	Shastoon	10.89	11.16	именно
words@aas1991m	Shastoon	11.16	11.35	да
words@aas1991m	Shastoon	11.35	11.99	импровизацией
words@aas1991m	Shastoon	11.99	12.336	самое
words@aas1991m	Shastoon	12.336	12.682	главное
words@aas1991m	Shastoon	12.682	13.03	вот
words@aas1991m	Shastoon	13.09	13.377	и
words@aas1991m	Shastoon	14.04	14.27	эээ
words@aas1991m	Shastoon	14.27	14.39	у
words@aas1991m	Shastoon	14.39	14.57	нас
words@aas1991m	Shastoon	14.57	14.78	есть
words@aas1991m	Shastoon	14.78	15.34	тренировки
words@aas1991m	Shastoon	15.34	15.49	и
words@aas1991m	Shastoon	15.49	15.88	очень
words@aas1991m	Shastoon	15.88	17.01	эээ
words@aas1991m	Shastoon	17.06	17.23	наш
words@aas1991m	Shastoon	17.23	17.51	жанр
words@aas1991m	Shastoon	17.51	17.79	легко
words@aas1991m	Shastoon	17.79	18.25	сравнить
words@aas1991m	Shastoon	18.25	18.35	со
words@aas1991m	Shastoon	18.35	18.73	спортом
words@aas1991m	Shastoon	18.73	19.14	допустим
words@aas1991m	Shastoon	19.14	19.2	у
words@aas1991m	Shastoon	19.2	19.33	нас
words@aas1991m	Shastoon	19.33	19.47	есть
words@aas1991m	Shastoon	19.47	20.07	тренировки
words@aas1991m	Shastoon	20.41	20.58	вот
words@aas1991m	Shastoon	20.595	20.92	мы
words@aas1991m	Shastoon	20.92	21.57	тренируемся
words@aas1991m	Shastoon	21.582	21.67	то
words@aas1991m	Shastoon	21.67	21.79	есть
words@aas1991m	Shastoon	21.79	21.93	мы
words@aas1991m	Shastoon	21.93	22.18	играем
words@aas1991m	Shastoon	22.18	22.35	все
words@aas1991m	Shastoon	22.35	22.48	те
words@aas1991m	Shastoon	22.48	22.61	же
words@aas1991m	Shastoon	22.61	23.02	знакомые
words@aas1991m	Shastoon	23.02	23.57	импровизации
words@aas1991m	Shastoon	23.57	24.03	формата
words@aas1991m	Shastoon	24.03	24.35	который
words@aas1991m	Shastoon	24.35	24.59	можно
words@aas1991m	Shastoon	24.59	24.82	видеть
words@aas1991m	Shastoon	24.82	24.93	в
words@aas1991m	Shastoon	24.93	25.42	передаче
words@aas1991m	Shastoon	25.66	25.75	ну
words@aas1991m	Shastoon	25.75	26.2	естественно
words@aas1991m	Shastoon	26.2	26.3	не
words@aas1991m	Shastoon	26.3	26.49	на
words@aas1991m	Shastoon	26.49	26.71	те
words@aas1991m	Shastoon	26.71	26.94	темы
words@aas1991m	Shastoon	26.94	27.37	которые
words@aas1991m	Shastoon	27.37	27.7	будут
words@aas1991m	Shastoon	27.7	27.83	в
words@aas1991m	Shastoon	27.83	28.26	передаче
words@aas1991m	Shastoon	28.26	28.49	потому
words@aas1991m	Shastoon	28.49	28.65	что
words@aas1991m	Shastoon	28.65	28.82	этих
words@aas1991m	Shastoon	28.82	28.94	тем
words@aas1991m	Shastoon	28.94	29.08	мы
words@aas1991m	Shastoon	29.08	29.16	не
words@aas1991m	Shastoon	29.16	29.56	знаем
words@aas1991m	Shastoon	29.91	30.16	мы
words@aas1991m	Shastoon	30.16	30.44	и
words@aas1991m	Shastoon	30.44	30.83	концерт
words@aas1991m	Shastoon	30.83	31.0	по
words@aas1991m	Shastoon	31.0	31.414	сути
words@aas1991m	Shastoon	31.414	31.65	для
words@aas1991m	Shastoon	31.65	31.9	нас
words@aas1991m	Shastoon	31.9	32.41	концерт
words@aas1991m	Shastoon	32.41	32.86	как
words@aas1991m	Shastoon	32.86	33.125	бы
words@aas1991m	Shastoon	33.125	33.47	это
words@aas1991m	Shastoon	33.47	33.77	такая
words@aas1991m	Shastoon	33.77	34.07	очень
words@aas1991m	Shastoon	34.07	34.91	ответственная
words@aas1991m	Shastoon	34.91	35.26	очень
words@aas1991m	Shastoon	35.26	35.78	большая
words@aas1991m	Shastoon	35.78	35.91	но
words@aas1991m	Shastoon	35.91	36.29	все-таки
words@aas1991m	Shastoon	36.29	36.93	тренировка
words@aas1991m	Shastoon	37.29	37.4	ну
words@aas1991m	Shastoon	37.4	37.67	потому
words@aas1991m	Shastoon	37.67	37.84	что
words@aas1991m	Shastoon	37.84	38.06	мы
words@aas1991m	Shastoon	38.06	38.246	играем
words@aas1991m	Shastoon	38.246	38.432	все
words@aas1991m	Shastoon	38.432	38.62	то
words@aas1991m	Shastoon	38.62	38.75	же
words@aas1991m	Shastoon	38.75	39.12	самое
words@aas1991m	Shastoon	39.12	39.21	у
words@aas1991m	Shastoon	39.21	39.4	нас
words@aas1991m	Shastoon	39.4	39.56	есть
words@aas1991m	Shastoon	39.56	39.65	в
words@aas1991m	Shastoon	39.65	39.89	этом
words@aas1991m	Shastoon	39.89	40.33	определенный
words@aas1991m	Shastoon	40.33	40.7	скилл
words@aas1991m	Shastoon	40.7	41.07	навык
words@aas1991m	Shastoon	44.12	44.71	ну
words@aas1991m	Shastoon	44.71	44.88	не
words@aas1991m	Shastoon	44.88	45.05	то
words@aas1991m	Shastoon	45.05	45.37	чтобы
